Customer_ID,Age,Gender,City,Employment_Type,Annual_Income,Credit_Score
CUST0001,59,Female,Pune,Salaried,1935156,767
CUST0002,49,Female,Delhi,Self-Employed,585977,675
CUST0003,35,Male,Delhi,Salaried,435230,593
CUST0004,28,Female,Bangalore,Salaried,1106741,574
CUST0005,41,Male,Delhi,Salaried,569114,694
CUST0006,59,Female,Mumbai,Salaried,1683194,562
CUST0007,39,Male,Pune,Self-Employed,1304208,761
CUST0008,43,Male,Hyderabad,Self-Employed,451456,574
CUST0009,31,Male,Delhi,Salaried,1162312,617
CUST0010,31,Female,Mumbai,Self-Employed,1454146,687
CUST0011,44,Female,Hyderabad,Salaried,570846,616
CUST0012,56,Male,Pune,Self-Employed,300404,782
CUST0013,44,Female,Hyderabad,Salaried,1258447,658
CUST0014,23,Male,Mumbai,Salaried,1003286,695
CUST0015,42,Male,Hyderabad,Salaried,1623483,660
CUST0016,22,Female,Bangalore,Salaried,1015460,777
CUST0017,44,Female,Hyderabad,Salaried,1184574,660
CUST0018,50,Male,Delhi,Salaried,535365,763
CUST0019,58,Female,Delhi,Self-Employed,642786,583
CUST0020,22,Female,Bangalore,Salaried,1399188,660
CUST0021,41,Male,Mumbai,Self-Employed,1110006,557
CUST0022,53,Male,Delhi,Salaried,500244,717
CUST0023,32,Female,Pune,Self-Employed,1353385,662
CUST0024,42,Male,Delhi,Self-Employed,463273,785
CUST0025,45,Male,Delhi,Self-Employed,1493104,632
CUST0026,47,Female,Mumbai,Salaried,1855540,591
CUST0027,48,Male,Hyderabad,Salaried,1798189,718
CUST0028,36,Male,Delhi,Self-Employed,1387341,650
CUST0029,35,Female,Bangalore,Salaried,1664652,555
CUST0030,23,Female,Hyderabad,Self-Employed,1234604,729
CUST0031,57,Male,Pune,Salaried,1143523,575
CUST0032,27,Male,Mumbai,Self-Employed,846237,613
CUST0033,41,Female,Pune,Self-Employed,1549728,775
CUST0034,29,Female,Hyderabad,Salaried,1648464,736
CUST0035,59,Female,Hyderabad,Self-Employed,1000903,733
CUST0036,38,Female,Hyderabad,Salaried,392193,608
CUST0037,24,Male,Pune,Self-Employed,1384763,658
CUST0038,45,Female,Hyderabad,Self-Employed,805950,747
CUST0039,34,Female,Pune,Salaried,1486887,778
CUST0040,29,Male,Hyderabad,Salaried,1210886,670
CUST0041,46,Female,Bangalore,Salaried,1100921,582
CUST0042,22,Male,Hyderabad,Self-Employed,808153,730
CUST0043,40,Female,Pune,Salaried,1537665,699
CUST0044,48,Female,Delhi,Self-Employed,886165,570
CUST0045,27,Female,Hyderabad,Self-Employed,1784917,747
CUST0046,28,Male,Delhi,Salaried,1660642,619
CUST0047,55,Male,Bangalore,Salaried,918362,796
CUST0048,34,Female,Mumbai,Self-Employed,987409,661
CUST0049,37,Male,Bangalore,Self-Employed,861419,553
CUST0050,56,Male,Hyderabad,Salaried,940053,643
CUST0051,24,Male,Delhi,Salaried,1160395,624
CUST0052,22,Male,Delhi,Salaried,1979748,739
CUST0053,26,Male,Pune,Salaried,425917,611
CUST0054,24,Male,Delhi,Salaried,1110717,643
CUST0055,49,Female,Pune,Self-Employed,1648346,644
CUST0056,38,Female,Mumbai,Self-Employed,998168,701
CUST0057,46,Male,Hyderabad,Self-Employed,781680,604
CUST0058,54,Female,Pune,Self-Employed,1271375,686
CUST0059,30,Female,Mumbai,Salaried,581342,796
CUST0060,56,Female,Delhi,Salaried,839542,680
CUST0061,34,Female,Delhi,Salaried,1392814,792
CUST0062,51,Male,Mumbai,Self-Employed,301252,580
CUST0063,35,Female,Delhi,Self-Employed,1126196,589
CUST0064,28,Female,Mumbai,Salaried,1164141,778
CUST0065,34,Male,Pune,Salaried,1834026,585
CUST0066,43,Male,Pune,Self-Employed,615826,701
CUST0067,41,Female,Mumbai,Self-Employed,1670214,772
CUST0068,36,Female,Pune,Salaried,905605,555
CUST0069,38,Female,Pune,Salaried,627359,615
CUST0070,44,Female,Pune,Self-Employed,1951451,761
CUST0071,46,Female,Bangalore,Salaried,306949,769
CUST0072,45,Female,Hyderabad,Salaried,1063185,624
CUST0073,49,Male,Delhi,Salaried,617537,553
CUST0074,35,Female,Bangalore,Self-Employed,962301,628
CUST0075,21,Female,Pune,Self-Employed,850222,683
CUST0076,45,Male,Mumbai,Self-Employed,1080722,667
CUST0077,27,Male,Pune,Self-Employed,1803678,662
CUST0078,29,Male,Hyderabad,Self-Employed,1686465,643
CUST0079,44,Male,Pune,Self-Employed,776467,797
CUST0080,21,Female,Mumbai,Self-Employed,656600,779
CUST0081,28,Female,Hyderabad,Salaried,1664133,728
CUST0082,44,Female,Pune,Salaried,1274304,611
CUST0083,31,Female,Hyderabad,Salaried,1653038,734
CUST0084,37,Female,Delhi,Salaried,550875,743
CUST0085,28,Female,Delhi,Salaried,763389,628
CUST0086,55,Male,Pune,Salaried,370390,752
CUST0087,55,Female,Hyderabad,Salaried,1007689,685
CUST0088,53,Male,Mumbai,Self-Employed,553490,575
CUST0089,25,Male,Pune,Self-Employed,1915952,728
CUST0090,59,Female,Delhi,Salaried,1596516,722
