Loan_ID,Customer_ID,Loan_Type,Loan_Amount,Interest_Rate,Tenure_Months,Start_Date
LOAN0001,CUST0153,Education Loan,882974,0.08785784971550208,36,2023-04-02
LOAN0002,CUST0145,Business Loan,963447,0.1196923276201596,12,2023-01-14
LOAN0003,CUST0194,Business Loan,878952,0.09327157540430603,12,2023-08-17
LOAN0004,CUST0053,Personal Loan,376916,0.1367540848261558,36,2023-03-27
LOAN0005,CUST0104,Business Loan,501978,0.14894649691372658,36,2023-05-13
LOAN0006,CUST0104,Personal Loan,362250,0.16005866991090828,48,2023-07-02
LOAN0007,CUST0179,Business Loan,655409,0.10001502442448101,48,2023-03-03
LOAN0008,CUST0039,Business Loan,75559,0.09674825822590698,24,2023-08-07
LOAN0009,CUST0179,Personal Loan,942027,0.09045678403344003,36,2023-09-03
LOAN0010,CUST0198,Personal Loan,608030,0.14364302495436365,48,2023-08-18
LOAN0011,CUST0134,Personal Loan,906101,0.1506475726486901,24,2023-03-20
LOAN0012,CUST0067,Business Loan,727114,0.0831586144825642,24,2023-05-29
LOAN0013,CUST0135,Business Loan,185044,0.17362122462436896,24,2023-05-18
LOAN0014,CUST0179,Education Loan,907263,0.08519712836514724,48,2023-11-10
LOAN0015,CUST0200,Personal Loan,162217,0.13412963353010704,36,2023-03-06
LOAN0016,CUST0042,Business Loan,616161,0.15090605194509166,12,2023-01-13
LOAN0017,CUST0192,Business Loan,942964,0.16709691237460855,24,2023-08-01
LOAN0018,CUST0015,Personal Loan,962699,0.1514086932132428,48,2023-08-30
LOAN0019,CUST0111,Education Loan,453119,0.16017280830697916,48,2023-08-01
LOAN0020,CUST0157,Personal Loan,708380,0.1139450192542806,12,2023-06-30
LOAN0021,CUST0033,Education Loan,878187,0.16148251137465122,12,2023-12-04
LOAN0022,CUST0155,Business Loan,922388,0.08801148463846752,48,2023-06-22
LOAN0023,CUST0164,Education Loan,136988,0.16948166560605277,36,2023-06-09
LOAN0024,CUST0157,Business Loan,619936,0.13475923761537362,12,2023-06-13
LOAN0025,CUST0038,Personal Loan,175991,0.16172977699624935,48,2023-07-07
