Transaction_ID,Loan_ID,Customer_ID,EMI_Amount,Principal_Component,Interest_Component,Payment_Date,Payment_Status
TXN_LOAN0001_1,LOAN0001,CUST0153,27990.39,21525.71,6464.68,2023-05-02,Paid
TXN_LOAN0001_2,LOAN0001,CUST0153,27990.39,21683.31,6307.08,2023-06-02,Paid
TXN_LOAN0001_3,LOAN0001,CUST0153,27990.39,21842.06,6148.33,2023-07-02,Paid
TXN_LOAN0001_4,LOAN0001,CUST0153,27990.39,22001.98,5988.41,2023-08-02,Paid
TXN_LOAN0001_5,LOAN0001,CUST0153,27990.39,22163.06,5827.33,2023-09-02,Paid
TXN_LOAN0001_6,LOAN0001,CUST0153,27990.39,22325.33,5665.06,2023-10-02,Paid
TXN_LOAN0001_7,LOAN0001,CUST0153,27990.39,22488.79,5501.6,2023-11-02,Paid
TXN_LOAN0001_8,LOAN0001,CUST0153,27990.39,22653.44,5336.95,2023-12-02,Paid
TXN_LOAN0001_9,LOAN0001,CUST0153,27990.39,22819.29,5171.1,2024-01-02,Missed
TXN_LOAN0001_10,LOAN0001,CUST0153,27990.39,22986.37,5004.02,2024-02-02,Paid
TXN_LOAN0001_11,LOAN0001,CUST0153,27990.39,23154.66,4835.73,2024-03-02,Paid
TXN_LOAN0001_12,LOAN0001,CUST0153,27990.39,23324.19,4666.2,2024-04-02,Missed
TXN_LOAN0001_13,LOAN0001,CUST0153,27990.39,23494.95,4495.44,2024-05-02,Paid
TXN_LOAN0001_14,LOAN0001,CUST0153,27990.39,23666.97,4323.42,2024-06-02,Paid
TXN_LOAN0001_15,LOAN0001,CUST0153,27990.39,23840.25,4150.14,2024-07-02,Missed
TXN_LOAN0001_16,LOAN0001,CUST0153,27990.39,24014.8,3975.59,2024-08-02,Paid
TXN_LOAN0001_17,LOAN0001,CUST0153,27990.39,24190.62,3799.77,2024-09-02,Paid
TXN_LOAN0001_18,LOAN0001,CUST0153,27990.39,24367.73,3622.66,2024-10-02,Paid
TXN_LOAN0001_19,LOAN0001,CUST0153,27990.39,24546.14,3444.25,2024-11-02,Paid
TXN_LOAN0001_20,LOAN0001,CUST0153,27990.39,24725.85,3264.54,2024-12-02,Paid
TXN_LOAN0001_21,LOAN0001,CUST0153,27990.39,24906.88,3083.51,2025-01-02,Missed
TXN_LOAN0001_22,LOAN0001,CUST0153,27990.39,25089.24,2901.15,2025-02-02,Paid
TXN_LOAN0001_23,LOAN0001,CUST0153,27990.39,25272.93,2717.46,2025-03-02,Paid
TXN_LOAN0001_24,LOAN0001,CUST0153,27990.39,25457.96,2532.43,2025-04-02,Paid
TXN_LOAN0001_25,LOAN0001,CUST0153,27990.39,25644.35,2346.04,2025-05-02,Paid
TXN_LOAN0001_26,LOAN0001,CUST0153,27990.39,25832.11,2158.28,2025-06-02,Paid
TXN_LOAN0001_27,LOAN0001,CUST0153,27990.39,26021.24,1969.15,2025-07-02,Paid
TXN_LOAN0001_28,LOAN0001,CUST0153,27990.39,26211.75,1778.64,2025-08-02,Paid
TXN_LOAN0001_29,LOAN0001,CUST0153,27990.39,26403.66,1586.73,2025-09-02,Paid
TXN_LOAN0001_30,LOAN0001,CUST0153,27990.39,26596.98,1393.41,2025-10-02,Missed
TXN_LOAN0001_31,LOAN0001,CUST0153,27990.39,26791.71,1198.68,2025-11-02,Paid
TXN_LOAN0001_32,LOAN0001,CUST0153,27990.39,26987.86,1002.53,2025-12-02,Paid
TXN_LOAN0001_33,LOAN0001,CUST0153,27990.39,27185.45,804.94,2026-01-02,Paid
TXN_LOAN0001_34,LOAN0001,CUST0153,27990.39,27384.49,605.9,2026-02-02,Missed
TXN_LOAN0001_35,LOAN0001,CUST0153,27990.39,27584.99,405.4,2026-03-02,Missed
TXN_LOAN0001_36,LOAN0001,CUST0153,27990.39,27786.9,203.49,2026-04-02,Paid
